LLT_TERM,LLT_CODE,PT_TERM,PT_CODE,HLT_TERM,HLT_CODE,HLGT_TERM,HLGT_CODE,SOC_TERM,SOC_CODE,
Stomach pain,10042112,Abdominal pain upper,10000087,Gastrointestinal and abdominal pains (excl oral and throat),10017926,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,
Diarrhea,10012727,Diarrhoea,10012735,Diarrhoea (excl infective),10012736,Gastrointestinal motility and defaecation conditions,10017977,Gastrointestinal disorders,10017947,
Flu-like symptoms,10016797,Influenza like illness,10022004,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,
Insomnia,10022437,Insomnia,10022437,Disturbances in initiating and maintaining sleep,10013510,Sleep disorders and disturbances,10040991,Psychiatric disorders,10037175,
Neutrophil count decreased,10029366,Neutrophil count decreased,10029366,White blood cell analyses,10047938,Haematology investigations (incl blood groups),10018851,Investigations,10022891,
Pruritus,10037087,Pruritus,10037087,Pruritus NEC,10049293,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,
Mucositis oral,10028130,Stomatitis,10042128,Stomatitis and ulceration,10042129,Oral soft tissue conditions,10031013,Gastrointestinal disorders,10017947,
Premature beat atrial,10036591,Supraventricular extrasystoles,10042602,Supraventricular arrhythmias,10042600,Cardiac arrhythmias,10007521,Cardiac disorders,10007541,
Vomiting,10047700,Vomiting,10047700,Nausea and vomiting symptoms,10028817,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,
White blood cell count low,10051617,White blood cell count decreased,10047942,White blood cell analyses,10047938,Haematology investigations (incl blood groups),10018851,Investigations,10022891,
White blood cell decreased,10049182,White blood cell count decreased,10047942,White blood cell analyses,10047938,Haematology investigations (incl blood groups),10018851,Investigations,10022891,
Pain back,10033380,Back pain,10003988,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,
Pain loin,10033460,Back pain,10003988,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,
Hypophosphatemia,10021059,Hypophosphataemia,10021058,Phosphorus metabolism disorders,10034941,"Bone, calcium, magnesium and phosphorus metabolism disorders",10013296,Metabolism and nutrition disorders,10027433,
Malaise,10025482,Malaise,10025482,Asthenic conditions,10003550,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,
Nausea,10028813,Nausea,10028813,Nausea and vomiting symptoms,10028817,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,
Rash,10037844,Rash,10037844,"Rashes, eruptions and exanthems NEC",10052566,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,
Alanine aminotransferase increased,10001551,Alanine aminotransferase increased,10001551,Hepatobiliary function diagnostic procedures,10087057,Hepatobiliary investigations,10019809,Investigations,10022891,
Aspartate aminotransferase increased,10003481,Aspartate aminotransferase increased,10003481,Hepatobiliary function diagnostic procedures,10087057,Hepatobiliary investigations,10019809,Investigations,10022891,
Colitis,10009887,Colitis,10009887,Colitis (excl infective),10009888,Gastrointestinal inflammatory conditions,10017969,Gastrointestinal disorders,10017947,
Glucose urine elevated,10018438,Glucose urine present,10018478,Urinalysis NEC,10046512,Renal and urinary tract investigations and urinalyses,10038362,Investigations,10022891,
Hemoglobin A1C increased,10051578,Glycosylated haemoglobin increased,10018484,Carbohydrate tolerance analyses (incl diabetes),10007217,"Metabolic, nutritional and blood gas investigations",10027432,Investigations,10022891,
Hyperglycemia,10020639,Hyperglycaemia,10020635,Hyperglycaemic conditions NEC,10020638,Glucose metabolism disorders (incl diabetes mellitus),10018424,Metabolism and nutrition disorders,10027433,
Hypertension aggravated,10020773,Hypertension,10020772,Vascular hypertensive disorders NEC,10020774,Vascular hypertensive disorders,10057166,Vascular disorders,10047065,
Hypertension,10020772,Hypertension,10020772,Vascular hypertensive disorders NEC,10020774,Vascular hypertensive disorders,10057166,Vascular disorders,10047065,
Hypertriglyceridemia,10020870,Hypertriglyceridaemia,10020869,Elevated triglycerides,10014486,Lipid metabolism disorders,10013317,Metabolism and nutrition disorders,10027433,
Lipase increased,10024574,Lipase increased,10024574,Digestive enzymes,10012981,Gastrointestinal investigations,10017971,Investigations,10022891,
Cholesterol high,10008661,Blood cholesterol increased,10005425,Cholesterol analyses,10008651,Lipid analyses,10024580,Investigations,10022891,
Lung infection,10061229,Pneumonia,10035664,Lower respiratory tract and lung infections,10025101,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,
Ventricular arrhythmia,10047281,Ventricular arrhythmia,10047281,Ventricular arrhythmias and cardiac arrest,10047283,Cardiac arrhythmias,10007521,Cardiac disorders,10007541,
Acute bronchitis,10000687,Bronchitis,10006451,Lower respiratory tract and lung infections,10025101,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,
Acute rhinitis,10066743,Rhinitis,10039083,Upper respiratory tract infections,10046309,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,
Pyrexia,10037660,Pyrexia,10037660,Febrile disorders,10016286,Body temperature conditions,10005908,General disorders and administration site conditions,10018065,
Urinary occult blood positive,10052287,Urinary occult blood positive,10052287,Urinalysis NEC,10046512,Renal and urinary tract investigations and urinalyses,10038362,Investigations,10022891,
Urinary tract infection,10046571,Urinary tract infection,10046571,Urinary tract infections,10046577,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,
Urine white blood cell increased,10046685,White blood cells urine positive,10047967,Urinalysis NEC,10046512,Renal and urinary tract investigations and urinalyses,10038362,Investigations,10022891,
Anemia,10002272,Anaemia,10002034,Anaemias NEC,10002067,Anaemias nonhaemolytic and marrow depression,10002086,Blood and lymphatic system disorders,10005329,
Blood bilirubin increased,10005364,Blood bilirubin increased,10005364,Hepatobiliary function diagnostic procedures,10087057,Hepatobiliary investigations,10019809,Investigations,10022891,
Creatinine increased,10011368,Blood creatinine increased,10005483,Renal function analyses,10038454,Renal and urinary tract investigations and urinalyses,10038362,Investigations,10022891,
Blood lactate dehydrogenase increased,10005630,Blood lactate dehydrogenase increased,10005630,Tissue enzyme analyses NEC,10043891,Enzyme investigations NEC,10014938,Investigations,10022891,
Type 2 diabetes mellitus,10067585,Type 2 diabetes mellitus,10067585,Diabetes mellitus (incl subtypes),10012602,Glucose metabolism disorders (incl diabetes mellitus),10018424,Metabolism and nutrition disorders,10027433,
Premature ventricular contractions,10036614,Ventricular extrasystoles,10047289,Ventricular arrhythmias and cardiac arrest,10047283,Cardiac arrhythmias,10007521,Cardiac disorders,10007541,
Headache,10019211,Headache,10019211,Headaches NEC,10019233,Headaches,10019231,Nervous system disorders,10029205,
Dizziness,10013573,Dizziness,10013573,Neurological signs and symptoms NEC,10029305,Neurological disorders NEC,10029285,Nervous system disorders,10029205,
Somnolence,10041349,Somnolence,10041349,Disturbances in consciousness NEC,10013506,Neurological disorders NEC,10029285,Nervous system disorders,10029205,
Syncope,10042772,Syncope,10042772,Disturbances in consciousness NEC,10013506,Neurological disorders NEC,10029285,Nervous system disorders,10029205,
Tremor,10044565,Tremor,10044565,Tremor (excl congenital),10044567,Movement disorders (incl parkinsonism),10028023,Nervous system disorders,10029205,
Constipation,10010774,Constipation,10010774,Gastrointestinal motility and defaecation conditions,10017977,Gastrointestinal disorders,10017947,Gastrointestinal disorders,10017947,
Dyspepsia,10013946,Dyspepsia,10013946,Dyspeptic signs and symptoms,10013953,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,
Flatulence,10016766,Flatulence,10016766,Gastrointestinal signs and symptoms NEC,10018013,Gastrointestinal signs and symptoms,10018012,Gastrointestinal disorders,10017947,
Dry mouth,10013781,Dry mouth,10013781,Salivary gland conditions NEC,10039408,Oral soft tissue conditions,10031013,Gastrointestinal disorders,10017947,
Toothache,10044033,Toothache,10044033,Dental pain and sensation disorders,10012351,Dental and gingival conditions,10012338,Gastrointestinal disorders,10017947,
Cough,10011224,Cough,10011224,Coughing and associated symptoms,10011234,Respiratory disorders NEC,10038714,Respiratory, thoracic and mediastinal disorders,10038738
Dyspnoea,10013963,Dyspnoea,10013963,Breathing abnormalities,10006198,Respiratory disorders NEC,10038714,Respiratory, thoracic and mediastinal disorders,10038738
Epistaxis,10015090,Epistaxis,10015090,Nasal bleeding,10028731,Respiratory tract disorders NEC,10038722,Respiratory, thoracic and mediastinal disorders,10038738
Oropharyngeal pain,10031102,Oropharyngeal pain,10031102,Upper respiratory tract signs and symptoms,10046313,Respiratory tract disorders NEC,10038722,Respiratory, thoracic and mediastinal disorders,10038738
Asthma,10003553,Asthma,10003553,Bronchospasm and obstruction,10006480,Bronchial disorders (excl neoplasms),10006440,Respiratory, thoracic and mediastinal disorders,10038738
Palpitations,10033557,Palpitations,10033557,Cardiac signs and symptoms NEC,10007622,Cardiac disorders NEC,10007584,Cardiac disorders,10007541,
Tachycardia,10043071,Tachycardia,10043071,Rate and rhythm disorders NEC,10037920,Cardiac arrhythmias,10007521,Cardiac disorders,10007541,
Bradycardia,10006093,Bradycardia,10006093,Rate and rhythm disorders NEC,10037920,Cardiac arrhythmias,10007521,Cardiac disorders,10007541,
Angina pectoris,10002361,Angina pectoris,10002361,Ischaemic coronary artery disorders,10023000,Coronary artery disorders,10011059,Cardiac disorders,10007541,
Atrial fibrillation,10003658,Atrial fibrillation,10003658,Supraventricular arrhythmias,10042600,Cardiac arrhythmias,10007521,Cardiac disorders,10007541,
Alopecia,10001760,Alopecia,10001760,Alopecias,10001765,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,
Erythema,10015037,Erythema,10015037,Erythemas,10015055,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,
Hyperhidrosis,10020644,Hyperhidrosis,10020644,Sweat gland abnormalities,10042676,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,
Dry skin,10013786,Dry skin,10013786,Dermal and epidermal conditions NEC,10012431,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,
Urticaria,10046735,Urticaria,10046735,Urticarias,10046740,Epidermal and dermal conditions,10014982,Skin and subcutaneous tissue disorders,10040785,
Fatigue,10016256,Fatigue,10016256,Asthenic conditions,10003550,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,
Chills,10008531,Chills,10008531,General signs and symptoms NEC,10018072,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,
Oedema peripheral,10030124,Oedema peripheral,10030124,Oedema NEC,10030095,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,
Asthenia,10003549,Asthenia,10003549,Asthenic conditions,10003550,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,
Chest pain,10008479,Chest pain,10008479,Pain and discomfort NEC,10033372,General system disorders NEC,10018073,General disorders and administration site conditions,10018065,
Arthralgia,10003239,Arthralgia,10003239,Joint related signs and symptoms,10023226,Joint disorders,10023214,Musculoskeletal and connective tissue disorders,10028395,
Myalgia,10028411,Myalgia,10028411,Muscle pains,10028347,Muscle disorders,10028319,Musculoskeletal and connective tissue disorders,10028395,
Muscle spasms,10028334,Muscle spasms,10028334,Muscle related signs and symptoms NEC,10028352,Muscle disorders,10028319,Musculoskeletal and connective tissue disorders,10028395,
Pain in extremity,10033425,Pain in extremity,10033425,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,
Neck pain,10028836,Neck pain,10028836,Musculoskeletal and connective tissue pain and discomfort,10068757,Musculoskeletal and connective tissue disorders NEC,10028393,Musculoskeletal and connective tissue disorders,10028395,
Bone pain,10005963,Bone pain,10005963,Bone related signs and symptoms,10005969,Bone disorders (excl congenital and fractures),10005953,Musculoskeletal and connective tissue disorders,10028395,
Joint swelling,10023232,Joint swelling,10023232,Joint related signs and symptoms,10023226,Joint disorders,10023214,Musculoskeletal and connective tissue disorders,10028395,
Muscular weakness,10028372,Muscular weakness,10028372,Muscle weakness conditions,10028383,Muscle disorders,10028319,Musculoskeletal and connective tissue disorders,10028395,
Upper respiratory tract infection,10046306,Upper respiratory tract infection,10046306,Upper respiratory tract infections,10046309,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,
Nasopharyngitis,10028810,Nasopharyngitis,10028810,Upper respiratory tract infections,10046309,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,
Gastroenteritis,10017888,Gastroenteritis,10017888,Gastrointestinal infections,10017966,Infections - pathogen unspecified,10021879,Infections and infestations,10021881,
Herpes zoster,10019974,Herpes zoster,10019974,Herpes viral infections,10019968,Viral infectious disorders,10047464,Infections and infestations,10021881,
Weight decreased,10047895,Weight decreased,10047895,Physical examination procedures and organ system status,10034997,Physical examination and organ system status topics,10034998,Investigations,10022891,
Weight increased,10047899,Weight increased,10047899,Physical examination procedures and organ system status,10034997,Physical examination and organ system status topics,10034998,Investigations,10022891,
Blood pressure increased,10005734,Blood pressure increased,10005734,Vascular tests NEC (incl blood pressure),10047113,Vascular investigations,10047101,Investigations,10022891,
Electrocardiogram QT prolonged,10014387,Electrocardiogram QT prolonged,10014387,ECG investigations,10014073,Cardiac and vascular investigations (excl enzyme tests),10007519,Investigations,10022891,
